Code,Year,population
DK,2002,5368354
DK,2003,5383507
DK,2004,5397640
DK,2005,5411405
DK,2006,5427459
DK,2007,5447084
DK,2008,5475791
DK,2009,5511451
DK,2010,5534738
DK,2011,5560628
DK,2012,5580516
DK,2013,5602628
DK,2014,5627235
DK,2015,5659715
DK,2016,5707251
DK,2017,5748769
DK,2018,5781190
DK,2019,5806081
DK,2020,5822763
DK,2021,5840045
DK,2022,5873420
DK,2023,5932654
EE,1977,1444522
EE,1978,1455900
EE,1979,1464476
EE,1980,1472190
EE,1981,1482247
EE,1982,1493085
EE,1983,1503743
EE,1984,1513747
EE,1985,1523486
EE,1986,1534076
EE,1987,1546304
EE,1988,1558137
EE,1989,1565662
EE,1990,1570599
EE,1991,1567749
EE,1992,1554878
EE,1993,1511303
EE,1994,1476952
EE,1995,1448075
EE,1996,1425192
EE,1997,1405996
EE,1998,1393074
EE,1999,1379237
EE,2000,1401250
EE,2001,1392720
EE,2002,1383510
EE,2003,1375190
EE,2004,1366250
EE,2005,1358850
EE,2006,1350700
EE,2007,1342920
EE,2008,1338440
EE,2009,1335740
EE,2010,1333290
EE,2011,1329660
EE,2012,1325217
EE,2013,1320174
EE,2014,1315819
EE,2015,1314870
EE,2016,1315944
EE,2017,1315635
EE,2018,1319133
EE,2019,1324820
EE,2020,1328976
EE,2021,1330068
EE,2022,1331796
EE,2023,1365884
EL,1977,9269372
EL,1978,9347586
EL,1979,9512332
EL,1980,9584184
EL,1981,9700826
EL,1982,9757874
EL,1983,9821152
EL,1984,9872102
EL,1985,9919500
EL,1986,9949100
EL,1987,9985326
EL,1988,10015863
EL,1989,10058103
EL,1990,10120892
EL,1991,10272691
EL,1992,10367163
EL,1993,10430958
EL,1994,10489871
EL,1995,10535973
EL,1996,10588332
EL,1997,10629267
EL,1998,10693250
EL,1999,10747768
EL,2000,10775627
EL,2001,10835989
EL,2002,10888274
EL,2003,10915770
EL,2004,10940369
EL,2005,10969912
EL,2006,11004716
EL,2007,11036008
EL,2008,11060937
EL,2009,11094745
EL,2010,11119289
EL,2011,11123392
EL,2012,11086406
EL,2013,11003615
EL,2014,10926807
EL,2015,10858018
EL,2016,10783748
EL,2017,10768193
EL,2018,10741165
EL,2019,10724599
EL,2020,10718565
EL,2021,10678632
EL,2022,10459782
EL,2023,10413982
ES,1977,36329199
ES,1978,36694077
ES,1979,37035719
ES,1980,37346940
ES,1981,37635389
ES,1982,37881873
ES,1983,38090151
ES,1984,38252899
ES,1985,38407829
ES,1986,38531195
ES,1987,38638052
ES,1988,38731578
ES,1989,38802300
ES,1990,38853227
ES,1991,38881416
ES,1992,39051336
ES,1993,39264034
ES,1994,39458489
ES,1995,39639726
ES,1996,39808374
ES,1997,39971329
ES,1998,40143449
ES,1999,40303568
ES,2000,40470182
ES,2001,40665545
ES,2002,41035278
ES,2003,41827838
ES,2004,42547451
ES,2005,43296338
ES,2006,44009971
ES,2007,44784666
ES,2008,45668939
ES,2009,46239273
ES,2010,46486619
ES,2011,46667174
ES,2012,46818219
ES,2013,46727890
ES,2014,46512199
ES,2015,46449565
ES,2016,46440099
ES,2017,46528024
ES,2018,46658447
ES,2019,46937060
ES,2020,47332614
ES,2021,47398695
ES,2022,47432893
ES,2023,48085361
FI,1977,4730836
FI,1978,4746967
FI,1979,4758088
FI,1980,4771292
FI,1981,4787778
FI,1982,4812150
FI,1983,4841715
FI,1984,4869858
FI,1985,4893748
FI,1986,4910664
FI,1987,4925644
FI,1988,4938602
FI,1989,4954359
FI,1990,4974383
FI,1991,4998478
FI,1992,5029002
FI,1993,5054982
FI,1994,5077912
FI,1995,5098754
FI,1996,5116826
FI,1997,5132320
FI,1998,5147349
FI,1999,5159646
FI,2000,5171302
FI,2001,5181115
FI,2002,5194901
FI,2003,5206295
FI,2004,5219732
FI,2005,5236611
FI,2006,5255580
FI,2007,5276955
FI,2008,5300484
FI,2009,5326314
FI,2010,5351427
FI,2011,5375276
FI,2012,5401267
FI,2013,5426674
FI,2014,5451270
FI,2015,5471753
FI,2016,5487308
FI,2017,5503297
FI,2018,5513130
FI,2019,5517919
FI,2020,5525292
FI,2021,5533793
FI,2022,5548241
FI,2023,5563970
FR,1977,52925442
FR,1978,53175309
FR,1979,53428781
FR,1980,53713830
FR,1981,54016749
FR,1982,54319646
FR,1983,54592379
FR,1984,54845980
FR,1985,55108106
FR,1986,55371639
FR,1987,55641541
FR,1988,55911478
FR,1989,56169948
FR,1990,56412897
FR,1991,58313439
FR,1992,58604851
FR,1993,58885929
FR,1994,59104320
FR,1995,59315139
FR,1996,59522297
FR,1997,59726386
FR,1998,59934884
FR,1999,60158533
FR,2000,60545022
FR,2001,60979315
FR,2002,61424036
FR,2003,61864088
FR,2004,62292241
FR,2005,62772870
FR,2006,63229635
FR,2007,63645065
FR,2008,64007193
FR,2009,64350226
FR,2010,64658856
FR,2011,64978721
FR,2012,65276983
FR,2013,65600350
FR,2014,66165980
FR,2015,66458153
FR,2016,66638391
FR,2017,66809816
FR,2018,67026224
FR,2019,67177636
FR,2020,67320216
FR,2021,67656682
FR,2022,67871925
FR,2023,68172977
GE,2000,4435200
GE,2001,4401400
GE,2002,4371500
GE,2003,4352600
GE,2004,4315200
GE,2005,4321500
GE,2006,4401292
GE,2007,4394702
GE,2008,4382070
GE,2009,4385429
GE,2010,4436391
GE,2011,4469250
GE,2012,4497617
GE,2014,4490498
GE,2015,3729500
GE,2016,3720400
GE,2017,3718200
GE,2018,3729633
GE,2019,3723464
GE,2020,3716858
GE,2021,3728573
GE,2022,3688647
GE,2023,3736357
HR,1977,4548432
HR,1978,4570709
HR,1979,4591460
HR,1980,4598095
HR,1981,4601469
HR,1982,4621548
HR,1983,4646921
HR,1984,4669587
HR,1985,4690983
HR,1986,4711852
HR,1987,4731041
HR,1988,4748450
HR,1989,4761965
HR,1990,4772556
HR,1991,4782179
HR,1992,4595865
HR,1993,4555771
HR,1994,4645155
HR,1995,4658893
HR,1996,4581167
HR,1997,4533028
HR,1998,4536812
HR,1999,4527460
HR,2000,4497735
HR,2001,4295406
HR,2002,4305494
HR,2003,4305384
HR,2004,4305725
HR,2005,4310861
HR,2006,4312487
HR,2007,4313530
HR,2008,4311967
HR,2009,4309796
HR,2010,4302847
HR,2011,4289857
HR,2012,4275984
HR,2013,4262140
HR,2014,4246809
HR,2015,4225316
HR,2016,4190669
HR,2017,4154213
HR,2018,4105493
HR,2019,4076246
HR,2020,4058165
HR,2021,4036355
HR,2022,3862305
HR,2023,3850894
HU,1977,10625259
HU,1978,10670802
HU,1979,10698841
HU,1980,10709463
HU,1981,10712781
HU,1982,10710914
HU,1983,10700155
HU,1984,10678770
HU,1985,10657420
HU,1986,10640006
HU,1987,10621121
HU,1988,10604360
HU,1989,10588614
HU,1990,10374823
HU,1991,10373153
HU,1992,10373647
HU,1993,10365035
HU,1994,10350010
